incident_id,crime_type,district,city,state,address,latitude,longitude,incident_datetime,officer_id,officer_first_name,officer_last_name,badge_number,suspect_id,suspect_first_name,suspect_last_name,suspect_age,suspect_gender,suspect_race,victim_id,victim_first_name,victim_last_name,victim_age,victim_gender,victim_phone,weapon_used,severity,case_status,resolution,num_arrests,property_loss_usd,reported_online,notes,badge_number_diketahui,tahun_kejadian,bulan_kejadian,akhir_pekan,selisih_usia_tersangka_korban,skor_keparahan,kerugian_per_penangkapan
INC001115,Assault,South,Maplewood,GA,2830 Cedar Lane,36.549199,-77.50071,2024-04-16,OFF0078,Emily,Davis,1342,SUS00281,Barbara,Thomas,51.0,Male,Asian,VIC00642,Robert,Torres,51.0,Unknown,6223265920,Firearm,Medium,Open,No Arrest,2.0,24725.4,True,Incident at 2830 Cedar Lane. Officer responded at scene.,True,2024.0,4.0,False,0.0,2,8241.8
INC004706,Burglary,Southeast,Maplewood,OH,2361 Park Rd,29.422717,-77.167016,2022-01-11,OFF0059,Michelle,Green,5133,SUS00376,Barbara,Harris,46.0,Other,Black,VIC00262,John,Martin,50.0,Unknown,2419734826,Firearm,High,Closed,No Resolution Yet,2.0,44839.49,True,Incident at 2361 Park Rd. Officer responded at scene.,True,2022.0,1.0,False,4.0,3,14946.5
INC002249,Homicide,Southwest,Lakewood,AZ,1067 Main St,39.41146,-98.615298,2022-04-14,OFF0088,Michael,White,7781,SUS00560,Richard,Scott,19.0,Female,Asian,VIC00518,Richard,Hill,29.0,Other,2445847696,Knife,Low,Closed,Warning Issued,2.0,15963.38,True,Incident at 1067 Main St. Officer responded at scene.,True,2022.0,4.0,False,10.0,1,5321.13
INC000021,Property Damage,Central,Springfield,AZ,4713 Washington Ave,28.633439,-99.030051,2020-12-09,OFF0077,Chris,Jackson,5097,SUS00468,Michael,Thomas,46.0,Male,Black,VIC00243,Susan,Young,50.0,Unknown,5021227484,Hands/Feet,Low,Closed,No Resolution Yet,5.0,48680.14,False,Incident at 4713 Washington Ave. Officer responded at scene.,True,2020.0,12.0,False,4.0,1,8113.36
INC000488,Domestic Violence,North,Lakewood,PA,1371 River Rd,34.21785,-121.614731,2021-07-24,OFF0083,Susan,Flores,6220,SUS00751,Thomas,Jackson,75.0,Female,White,VIC00512,Thomas,Thomas,51.0,Male,9698766873,Unarmed,Medium,Closed,Warning Issued,2.0,23513.01,True,Tidak ada catatan tambahan.,True,2021.0,7.0,True,24.0,2,7837.67
INC000661,Breaking & Entering,East,Hillcrest,CA,3551 Elm Blvd,44.438603,-101.775119,2020-03-05,OFF0089,Jennifer,Green,7082,SUS00454,James,Lee,73.0,Unknown,White,VIC00473,Anthony,Wilson,15.0,Unknown,5903326488,Blunt Object,High,Under Investigation,Arrest Made,1.0,24725.4,True,Incident at 3551 Elm Blvd. Officer responded at scene.,True,2020.0,3.0,False,58.0,3,12362.7
INC001727,Robbery,Southeast,Maplewood,TX,7394 Cedar Lane,38.525825,-90.100219,2021-10-03,OFF0141,Jennifer,Harris,7747,SUS00623,Carol,Harris,58.0,Female,Unknown,VIC00429,Mary,Walker,72.0,Female,4315796170,Blunt Object,Medium,Closed,Warning Issued,3.0,24725.4,True,Incident at 7394 Cedar Lane. Officer responded at scene.,True,2021.0,10.0,True,14.0,2,6181.35
INC003981,Manslaughter,Midtown,Centerville,IL,1610 River Rd,46.854678,-99.512808,2023-09-30,OFF0008,Karen,Hall,7869,SUS00533,Jennifer,Taylor,73.0,Male,White,VIC00904,David,Torres,50.0,Female,5875051798,Unknown,Low,Open,No Arrest,2.0,19075.36,False,Incident at 1610 River Rd. Officer responded at scene.,True,2023.0,9.0,True,23.0,1,6358.45
INC001205,Breaking & Entering,East,Centerville,OH,378 Oak Ave,38.869063,-114.385749,2021-01-22,OFF0034,Daniel,Jackson,8229,SUS00320,Robert,Hill,26.0,Male,Hispanic,VIC00093,Mary,Lee,55.0,Other,3956212676,Hands/Feet,Critical,Under Investigation,Warning Issued,0.0,34452.47,True,Incident at 378 Oak Ave. Officer responded at scene.,True,2021.0,1.0,False,29.0,4,34452.47
INC000972,Homicide,Northeast,Riverside,IL,8974 Park Rd,42.018768,-72.384742,2021-03-29,OFF0093,Mary,Thompson,7242,Unidentified,Unidentified,Unidentified,46.0,Unknown,Unknown,VIC00859,Michelle,Hill,10.0,Unknown,3764403132,Rifle,Medium,Under Investigation,No Resolution Yet,5.0,35339.52,False,Tidak ada catatan tambahan.,True,2021.0,3.0,False,36.0,2,5889.92
