incident_id,crime_type,district,city,state,address,latitude,longitude,incident_datetime,officer_id,officer_first_name,officer_last_name,badge_number,suspect_id,suspect_first_name,suspect_last_name,suspect_age,suspect_gender,suspect_race,victim_id,victim_first_name,victim_last_name,victim_age,victim_gender,victim_phone,weapon_used,severity,case_status,resolution,num_arrests,property_loss_usd,reported_online,notes
INC001115,Assault,South,MAPLEWOOD,GA,2830 Cedar Lane,36.549199,-77.50071,2024-04-16,OFF0078,Emily,Davis,1342.0,SUS00281,Barbara,Thomas,51.0,Male,Asian,VIC00642,Robert,Torres,51.0,Unknown,6223265920,Firearm,Medium,Open,No Arrest,2.0,24725.4,True,Incident at 2830 Cedar Lane. Officer responded at scene.
INC004706,Burglary,Southeast,MAPLEWOOD,OH,2361 Park Rd,29.422717,-77.167016,2022-01-11,OFF0059,Michelle,Green,5133.0,SUS00376,Barbara,Harris,46.0,Other,Black,VIC00262,John,Martin,50.0,Unknown,241-973-4826,Firearm,High,Closed,Belum Ada Resolusi,2.0,44839.49,True,Incident at 2361 Park Rd. Officer responded at scene.
INC002249,Homicide,Southwest,LAKEWOOD,AZ,1067 Main St,39.41146,-98.615298,2022-04-14,OFF0088,Michael,White,7781.0,SUS00560,Richard,Scott,19.0,Female,Asian,VIC00518,Richard,Hill,29.0,Other,244-584-7696,Knife,Low,Closed,Warning Issued,2.0,15963.38,True,Incident at 1067 Main St. Officer responded at scene.
INC000021,Property Damage,Central,SPRINGFIELD,AZ,4713 Washington Ave,28.633439,-99.030051,2020-12-09,OFF0077,Chris,Jackson,5097.0,SUS00468,Michael,Thomas,46.0,Male,Black,VIC00243,Susan,Young,50.0,Unknown,5021227484,Hands/Feet,Low,Closed,Belum Ada Resolusi,5.0,48680.14,False,Incident at 4713 Washington Ave. Officer responded at scene.
INC000488,Domestic Violence,North,LAKEWOOD,PA,1371 River Rd,34.21785,-121.614731,2021-07-24,OFF0083,Susan,Flores,6220.0,SUS00751,Thomas,Jackson,75.0,Female,White,VIC00512,Thomas,Thomas,51.0,Male,9698766873,Unarmed,Medium,Closed,Warning Issued,2.0,23513.01,True,Tidak ada catatan tambahan.
INC000661,Breaking & Entering,East,HILLCREST,CA,3551 Elm Blvd,44.438603,-101.775119,2020-03-05,OFF0089,Jennifer,Green,7082.0,SUS00454,James,Lee,73.0,Unknown,White,VIC00473,Anthony,Wilson,15.0,Unknown,590-332-6488,Blunt Object,High,Under Investigation,Arrest Made,1.0,24725.4,True,Incident at 3551 Elm Blvd. Officer responded at scene.
INC001727,Robbery,Southeast,MAPLEWOOD,TX,7394 Cedar Lane,38.525825,-90.100219,2021-10-03,OFF0141,Jennifer,Harris,7747.0,SUS00623,Carol,Harris,58.0,Female,Unknown,VIC00429,Mary,Walker,72.0,Female,431-579-6170,Blunt Object,Medium,Closed,Warning Issued,3.0,24725.4,True,Incident at 7394 Cedar Lane. Officer responded at scene.
INC003981,Manslaughter,Midtown,CENTERVILLE,IL,1610 River Rd,46.854678,-99.512808,2023-09-30,OFF0008,Karen,Hall,7869.0,SUS00533,Jennifer,Taylor,73.0,Male,White,VIC00904,David,Torres,50.0,Female,587-505-1798,Unknown,Low,Open,No Arrest,2.0,19075.36,False,Incident at 1610 River Rd. Officer responded at scene.
INC001205,Breaking & Entering,East,CENTERVILLE,OH,378 Oak Ave,38.869063,-114.385749,2021-01-22,OFF0034,Daniel,Jackson,8229.0,SUS00320,Robert,Hill,26.0,Male,Hispanic,VIC00093,Mary,Lee,55.0,Other,3956212676,Hands/Feet,Critical,Under Investigation,Warning Issued,0.0,34452.47,True,Incident at 378 Oak Ave. Officer responded at scene.
INC000972,Homicide,Northeast,RIVERSIDE,IL,8974 Park Rd,42.018768,-72.384742,2021-03-29,OFF0093,Mary,Thompson,7242.0,Unidentified,Unidentified,Unidentified,46.0,Unknown,Unknown,VIC00859,Michelle,Hill,10.0,Unknown,376-440-3132,Rifle,Medium,Under Investigation,Belum Ada Resolusi,5.0,35339.52,False,Tidak ada catatan tambahan.
INC002898,Property Damage,Central,OAKDALE,NY,9798 Elm Blvd,36.632099,-104.196302,2020-03-03,OFF0035,John,Jones,9036.0,SUS00005,Ashley,Harris,49.0,Female,Black,VIC00682,Mark,Young,47.0,Unknown,596-444-9767,Unknown,High,Under Investigation,Belum Ada Resolusi,0.0,27438.67,False,Incident at 9798 Elm Blvd. Officer responded at scene.
INC003264,Drug Offense,Central,FAIRVIEW,AZ,8650 Elm Blvd,46.424282,-120.996678,2018-09-09,OFF0111,Donna,Thompson,4688.0,Unidentified,Unidentified,Unidentified,46.0,Unknown,Unknown,VIC00084,Anthony,Nguyen,35.0,Unknown,855-624-8658,Bat,Low,Open,Belum Ada Resolusi,2.0,41738.8,True,Tidak ada catatan tambahan.
INC003052,Burglary,East,HILLCREST,OH,5420 River Rd,47.020966,-83.072251,2020-07-04,OFF0104,James,Taylor,,SUS00783,Anthony,Martin,33.0,Male,Asian,VIC00960,Mark,Taylor,55.0,Male,832-278-8736,Rifle,Critical,Closed,Warning Issued,2.0,24725.4,False,Incident at 5420 River Rd. Officer responded at scene.
INC000524,Theft/Larceny,Northeast,CENTERVILLE,FL,6121 Oak Ave,44.872436,-106.852051,2023-07-30,OFF0014,Joseph,Smith,4335.0,SUS00236,Thomas,Jones,46.0,Female,Hispanic,VIC00569,Robert,Scott,50.0,Male,655-760-3556,Knife,Critical,Closed,Belum Ada Resolusi,2.0,3201.56,True,Incident at 6121 Oak Ave. Officer responded at scene.
INC000560,Fraud,Midtown,CENTERVILLE,OH,5094 Main St,28.121432,-84.979481,2020-01-04,OFF0046,Donna,Thompson,8121.0,SUS00074,Daniel,Thompson,52.0,Other,White,VIC00821,Barbara,Johnson,26.0,Male,Tidak Tersedia,Pistol,High,Closed,Warning Issued,3.0,37228.41,True,Incident at 5094 Main St. Officer responded at scene.
INC000812,Drug Offense,North,RIVERSIDE,CA,5556 River Rd,47.561353,-85.069404,2020-11-26,OFF0133,Emily,Nguyen,8079.0,SUS00606,Chris,Garcia,21.0,Male,Asian,VIC00071,Daniel,Jackson,82.0,Female,628-122-3246,Blunt Object,High,Open,No Arrest,2.0,41473.0,True,Tidak ada catatan tambahan.
INC003999,Armed Robbery,Southeast,CENTERVILLE,PA,6637 Lincoln St,25.262347,-73.445871,2021-11-05,OFF0097,Ashley,Davis,6651.0,SUS00776,Joseph,Brown,18.0,Male,Black,VIC00676,Linda,Nguyen,50.0,Female,897-102-9006,Knife,Medium,Pending,Belum Ada Resolusi,3.0,24725.4,True,Incident at 6637 Lincoln St. Officer responded at scene.
INC003972,Arson,Southwest,CENTERVILLE,IL,3221 Cedar Lane,25.80811,-106.368949,2022-10-07,OFF0141,Charles,Nguyen,7634.0,Unidentified,Unidentified,Unidentified,46.0,Unknown,Unknown,VIC00846,Donna,Jackson,82.0,Female,924-985-8530,Unknown,Critical,Pending,Warning Issued,4.0,24725.4,True,Incident at 3221 Cedar Lane. Officer responded at scene.
INC000949,Kidnapping,North,MAPLEWOOD,CA,5783 Main St,40.614362,-80.606867,2024-11-23,OFF0020,Susan,Walker,2599.0,SUS00636,Richard,Wright,57.0,Unknown,Unknown,VIC00228,Mary,Walker,49.0,Male,Tidak Tersedia,Unknown,Medium,Closed,No Arrest,2.0,31931.65,False,Incident at 5783 Main St. Officer responded at scene.
INC002839,Graffiti,East,HILLCREST,FL,5563 Lincoln St,31.366741,-81.476181,2018-08-26,OFF0050,John,Smith,9830.0,SUS00294,Michael,Jones,51.0,Female,Hispanic,VIC00850,David,Williams,50.0,Male,Tidak Tersedia,Bat,Medium,Closed,Warning Issued,0.0,6546.79,False,Incident at 5563 Lincoln St. Officer responded at scene.
INC002859,Trespassing,Midtown,MAPLEWOOD,PA,1522 Lincoln St,43.213574,-112.532649,2019-10-15,OFF0020,Joseph,Walker,6621.0,SUS00207,Mary,Brown,42.0,Female,Hispanic,VIC00225,Patricia,Green,12.0,Male,527-108-7397,Knife,Low,Closed,Dismissed,5.0,26845.31,True,Incident at 1522 Lincoln St. Officer responded at scene.
INC004651,Cybercrime,East,OAKDALE,OH,3806 Washington Ave,39.701184,60.9112,2020-03-20,OFF0059,Sarah,Martin,5314.0,SUS00385,James,Young,35.0,Male,Black,VIC00777,Donna,Young,55.0,Female,701-395-6824,Firearm,Critical,Open,Warning Issued,3.0,2167.35,False,Incident at 3806 Washington Ave. Officer responded at scene.
INC003793,Armed Robbery,South,LAKEWOOD,CA,3852 River Rd,35.044905,-83.999129,2019-01-04,OFF0064,Jessica,Walker,9763.0,SUS00630,Donna,Harris,46.0,Male,Black,VIC00208,Richard,Anderson,50.0,Male,Tidak Tersedia,Gun,Medium,Under Investigation,Arrest Made,3.0,38573.92,False,Incident at 3852 River Rd. Officer responded at scene.
INC004688,Trespassing,West,LAKEWOOD,PA,1550 Sunset Blvd,25.112438,-97.442801,2021-08-28,OFF0094,Anthony,Moore,2483.0,SUS00220,Robert,Wright,58.0,Other,Unknown,VIC00521,Mark,Harris,33.0,Female,294-211-8872,Bat,Medium,Open,Arrest Made,1.0,8534.94,True,Incident at 1550 Sunset Blvd. Officer responded at scene.
INC003745,Assault,Central,RIVERSIDE,NY,2767 River Rd,28.234244,-94.6682905,2018-01-24,OFF0018,James,Lee,5491.0,SUS00769,Donna,Thompson,54.0,Unknown,White,VIC00116,Thomas,Miller,74.0,Female,762-638-3161,Firearm,Low,Closed,Arrest Made,2.0,24970.35,False,Incident at 2767 River Rd. Officer responded at scene.
INC002571,Sexual Assault,North,CENTERVILLE,AZ,4669 Washington Ave,25.148272,-93.057116,2023-05-28,OFF0144,Michelle,Flores,4616.0,SUS00376,James,Thompson,61.0,Male,Hispanic,VIC00147,Susan,Nguyen,50.0,Other,Tidak Tersedia,Knife,Medium,Closed,Belum Ada Resolusi,3.0,24725.4,False,Incident at 4669 Washington Ave. Officer responded at scene.
INC002592,Fraud,Midtown,RIVERSIDE,PA,3360 Sunset Blvd,25.974863,-96.956091,2020-08-15,OFF0082,Anthony,Thompson,4313.0,SUS00733,Karen,Green,58.0,Female,Black,VIC00333,Barbara,Johnson,64.0,Male,(806) -68-2-4246,Blunt Object,Medium,Closed,Warning Issued,3.0,24725.4,False,Incident at 3360 Sunset Blvd. Officer responded at scene.
